序号,中标公告唯一标识,标段名称,标段编号,中标公告发布时间,中标单位,中标单位代码,中标价,项目负责人,工期,质量承诺,项目名称,中标时间,标段所在行政区域代码,费率或其它类型结果,交易平台名称,投诉情况,回复情况,行政监督机构名称,专家姓名,交易平台标识码,,
37,f8612615-41dc-4926-a66b-07899d160e7b,丽缙园幼儿园项目000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,A3311011160006467001001,48:04.0,浙江罗邦建设有限公司,91331123683145240C,20416609,留卫平,247,1,丽缙园幼儿园项目,48:04.0,331122,,缙云县公共资源交易中心,,,丽水市行政审批服务管理办公室,,A3311221190,,
38,8c23705f-ebef-41d8-b88c-d518d286b4550000000000000000000000000000,湖州南太湖新区长东总部经济园区路网及综合管廊工程（长东路等三路工程）设计项目,HZ20200521005-100000000,59:05.0,北京市市政专业设计院股份公司,9111010210112976XW,10431000,王京京,0,无,湖州南太湖新区长东总部经济园区路网及综合管廊工程（长东路等三路工程）设计项目,58:47.0,330507,1,湖州经济技术开发区公共资源交易中心,,,湖州市公共资源交易中心,,A3305300710,,
39,c18ba9c6-29d3-4498-98ab-a8e3a7f2bc5b,千亩“示范方”基础道路设施硬化工程,A3304240590002118001001,06:03.0,浙江川源建设有限公司,91330421MA2BCK9M8R,1455628,陈斌,0,/,千亩“示范方”基础道路设施硬化工程,06:03.0,330424,,海盐县公共服务平台,,,新点电子招投标监督平台,,A3304240590,,
41,199774bd-5b63-4317-98c3-cc23338f4d8f,嵊泗泗礁岛海湾清淤工程,A3309221030000039001001,44:50.0,浙江省围海建设集团舟山有限公司,91330900683115826A,17323531,李诗元,0,合格,嵊泗泗礁岛海湾清淤工程,44:50.0,330922,,嵊泗县招投标中心,,,嵊泗县招投标中心,,A3309221030,,
42,77338ff9-36e9-4b69-9920-ac8cddaab93e,乔司第二幼儿园（艺尚分园）改建项目,A3301100140300074001001,00:00.0,信实环境建设集团有限公司,9.13308E+17,12135940,江三明,0,无,乔司第二幼儿园（艺尚分园）改建项目,31:18.0,330110,,杭州市余杭区公共资源交易中心,,,杭州市余杭区住房和城乡建设局,,A3301100140,,
43,20220804152403028-20220720151121023,临海市永丰镇实验小学综合楼工程,A3310821150002637001001,03:06.0,浙江鼎盛建筑工程有限公司,91331021148362307E,9255971,李先荣、管宸逸,0,合格,临海市永丰镇实验小学综合楼工程,03:06.0,331000,0,临海市公共资源交易中心,,,临海市公共资源交易管理办公室,,A3310821150,,
44,122c66ca-8861-4d01-8539-5bee5bde7fcf,衢州市生态环境局院内硬路及停车位改造工程,A3308010010580010010000,30:24.0,浙江禁山环境建设工程有限公司,91330800050135384B,452535,张艳,0,无,衢州市生态环境局院内硬路及停车位改造工程,30:24.0,330801,,衢州市公共资源交易中心,,,衢州市公共资源交易监督管理办公室,,A3308010910,,
45,eb8b8609-79bd-4659-b3e2-bcd3f7fde1be,新社区集聚后宅街道镇中北侧3#地块幕墙工程,YW20210607004-S00100000,12:41.0,常升建设集团有限公司,9.133E+17,18931308,尚琳娜,360,符合国家现行施工验收规范合格标准,新社区集聚后宅街道镇中北侧3#地块幕墙工程,12:41.0,330782,,义乌市公共资源交易中心,,,义乌市·市本级,,A3307820880,,
46,f9a7ab6f-0ed0-4c21-b4ba-f2f39c3e33a5,2022-2025年江山经济开发区莲华山园区基础设施配套建设项目(邻里服务点),A3308810005650010010000,56:47.0,浙江江鑫建设有限公司,91330881785661430M,133150161,严裕录,0,无,2022-2025年江山经济开发区莲华山园区基础设施配套建设项目(邻里服务点),56:47.0,330881,,江山市公共资源交易中心,,,衢州市公共资源交易监督管理办公室,,A3308810990,,
47,D33102320211230111142599,2021年天台县三合镇灵溪片等高标准农田建设项目,A3310231120100136001001,42:02.0,江山市冠龙水利建设有限公司,91330881569370866Q,4135814,余小翠,360,合格,2021年天台县三合镇灵溪片等高标准农田建设项目,15:40.0,331001,,天台县公共资源交易中心,,,天台县农业农村局,,A3310231120,,
49,ad2fc83b-3f84-4812-836b-bc8d96f45ab4,常山县人民医院整体改造提升项目设计,A3308220000620010010000,05:08.0,浙江省现代建筑设计研究院有限公司,9133000047005189XE,1410000,蒋德利,0,无,常山县人民医院整体改造提升项目设计,05:08.0,330822,,常山县公共资源交易中心,,,衢州市公共资源交易监督管理办公室,,A3308220940,,
50,ed92fab7-8d8c-4542-ac14-f99a68818535,,A3310811140001039001001,34:00.0,温岭市大地建筑工程有限公司,9133108125547542X2,3224888,,0,,,34:00.0,331000,0,温岭市公共资源交易中心,,,,,A3310811140,,
52,28890,乡愁记忆风景线建设工程,A3307830890002029029892,48:13.0,金华市交通规划设计院有限公司,91330702471542586Q,137137815,周珠英,100,不低于国家相关验收的合格标准,乡愁记忆风景线建设工程,00:00.0,330783,10.56,东阳市公共资源交易中心,,,东阳市交通局,,A3307830890,,
53,5f6e8f8a-8eaf-4f6d-8d74-64e4e4e47bc8,开发区2020年度安置房维修等配套项目集水河水系沟通工程,A3304240590000665001001,49:20.0,嘉善县水利建设工程有限公司,91330421146606347L,1610468,俞雪妹,0,/,开发区2020年度安置房维修等配套项目集水河水系沟通工程,49:20.0,330424,,海盐县公共服务平台,,,新点电子招投标监督平台,,A3304240590,,
54,1.60099E+15,浙江省龙游县湖镇中心卫生院医养结合项目改造—综合楼加层改造工程,A3308250980001366001001,00:00.0,龙游凤舞建设有限公司,91330825MA2DH3L744,181731,周功苗,60,合格,浙江省龙游县湖镇中心卫生院医养结合项目改造—综合楼加层改造工程,21:26.0,330825,,龙游县公共资源交易平台,,,1.44185E+15,,A3308250980,,
55,2b60d0c2-539a-495f-a939-4d6f830d1885,育才路北延（禹会路-上方山大道）道路新建工程Ⅱ标,A3306030730001294001001,24:18.0,中国铁建大桥工程局集团有限公司,91120116244997951G,226086239,李文良,1095,合格,育才路北延（禹会路-上方山大道）道路新建工程Ⅱ标,30:00.0,330603,下浮率,绍兴市柯桥区公共资源交易中心,,,绍兴市柯桥区公共资源交易管理委员会办公室,,A3306030730,,
56,8835201,镇海区ZH09-03-02-03-a地块项目设计采购施工（EPC）总承包,A3302110270000081001001,18:00.0,"浙江新中源建设有限公司,宁波市民用建筑设计研究院有限公司",91330200725135244T,744695171,李工,0,按国家施工验收规范一次性验收合格,镇海区ZH09-03-02-03-a地块项目设计采购施工（EPC）总承包,00:00.0,330211,,镇海公共资源交易中心,,,镇海区住建局建招办,,A3302110270,,
57,291b0fe1-8598-43aa-9a85-9178c0f804eb,上虞区数字农业综合体建设项目,A3306820700003118001001,40:39.0,海天建设集团有限公司,91330783785663700R,74354404,沈卫忠,0,合格,上虞区数字农业综合体建设项目,40:37.0,330682,,绍兴市上虞区公共资源交易中心,,,绍兴市上虞区便民服务中心(招标投标监督办公室),,A3306040760,,
58,7853,Z601长坑岭头至朝阳林区公路拓宽改造建设项目,PA2020-035号678435600408,17:52.0,浙江磐安明景建设有限公司,91330800609807808N,1470382,王良彪,180,合格,Z601长坑岭头至朝阳林区公路拓宽改造建设项目,00:00.0,330727,8.09,磐安县公共资源管理委员会办公室,,,磐安县住房和城乡建设局,,A3307270830,,
59,163429,宁波农副产品物流中心I期功能提升改造工程总承包,E3302830000005678001001,27:02.0,"宁波建工工程集团有限公司,慈溪市建筑设计研究院有限公司",91330200340554704D,67615000,-,0,-,宁波农副产品物流中心I期功能提升改造工程总承包,00:00.0,330201,,宁波市公共资源交易中心,,,其他（非监管中心监管项目）,,A3302010220,,
60,d77f0ecf-a17a-46fa-846a-77cf07929ad00000000000000000000000000000,湖州市老旧小区改造(一期)及中心城区污水零直排工程施工2022年度三标段监理项目,A3305010650000726001001,03:58.0,杭州天恒投资建设管理有限公司,9.13301E+17,1167800,潘谷铭,0,无,湖州市老旧小区改造(一期)及中心城区污水零直排工程施工2022年度三标段监理项目,03:04.0,330501,1,湖州市公共资源交易中心,,,湖州市公共资源交易管理办公室,,A3305010650,,
61,90beda4a-b8f8-4d5e-bab0-4619e309e20d0000000000000000000000000000,龙港市龙港大道改造提升工程（西一街至堤塘段）设计,A3303831280000123001001,55:34.0,天津城建设计院有限公司,91120000746695865U,1800000,井润胜,50,1,龙港市龙港大道改造提升工程（西一街至堤塘段）设计,54:48.0,330399,,龙港市公共资源交易中心,,,龙港市自然资源与规划建设局;,,A3303831280,,
62,2d73b095-6263-46c8-957b-f2bf78fff1a3,前进公租房一期项目全过程工程咨询,A3301300180503527001211,00:00.0,城市建设技术集团（浙江）有限公司,91330104253924869R,9445552,王芝全,0,无,前进公租房一期项目全过程工程咨询,24:58.0,330130,,杭州市公共资源交易中心钱塘分中心,,,杭州市钱塘新区建设局,,A3301300180,,
63,94f77a4c-d6fc-4dfb-b0f7-2ccea5a792e9,嘉善县第三人民医院三期工程,A3304210580000223001001,20:18.0,浙江东博建设有限公司,91330421560998614H,144131800,杨旭峰,0,/,嘉善县第三人民医院三期工程,20:18.0,330421,,嘉善县公共服务平台,,,新点电子招投标监督平台,,A3304210580,,
64,D33100120210611134921927,台州市域铁路S1线一期工程站台门设备采购及安装工程,G3310011234001528001001,08:19.0,株洲中车时代电气股份有限公司,9.143E+17,50567806,杨昊,150,满足招标文件要求,台州市域铁路S1线一期工程,05:09.0,331001,,台州市公共资源交易中心,,,台州市发展和改革委员会,,A3310011060,,
65,66401,滨海十一路（金海三道至滨海六道段）道路提升工程,1E+20,23:50.0,绍兴金朋环境建设有限公司,9.13306E+17,16578518,鲁国庆,365,合格,滨海十一路（金海三道至滨海六道段）道路提升工程,25:36.0,330301,,温州市行政审批与公共资源交易服务管理中心,,,温州经济技术开发区住房与建设局工程建设招投标办公室,,,,
66,53784,东阳市2023年养护专项工程（设计）（标段一）,A3307830890003156001001,14:30.0,金华市交通规划设计院有限公司,91330702471542586Q,1150000,肖质江,0,合格,东阳市2023年养护专项工程（设计）（标段一）,00:00.0,330783,,东阳市公共资源交易中心,,,东阳市交通局,,A3307830890,,
67,2f5f0846-fede-4310-bc9b-b0be8ae90554,建德市境内铁路货场迁建工程(危化品库区一期）整改项目(第二次）,A3301820190000001001001,00:00.0,浙江云龙建设有限公司,91330182704289172H,4919504,无,0,合格,建德市境内铁路货场迁建工程(危化品库区一期）整改项目(第二次）,57:26.0,330182,,建德市公共资源交易中心,,,建德市住房和城乡建设局,,A3301820190,,
68,dd848147-4145-4184-81ac-773752d0acc1,安吉县浑泥港流域鄣吴溪治理工程（鄣吴镇段）-大河口水库至黄石头桥段,A3305230700000709001001,06:08.0,浙江鸿翔水利建设有限公司,9.13305E+17,5988991,沈婷瑶,0,合格,安吉县浑泥港流域鄣吴溪治理工程（鄣吴镇段）,06:08.0,330523,,安吉县公共资源交易中心,,,安吉县公共资源交易管理办公室,,A3305230700,,
69,dc83d2b8-1e1e-471f-9f64-c97af352c732,青田县2021年普通国省道公路养护大中修工程施工00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,A3311011160005575001001,05:27.0,青田侨乡交通工程建设有限公司,9.13311E+17,18930061,陈晓芬,130,1,青田县2021年普通国省道公路养护大中修工程,05:27.0,331121,,青田县公共资源交易中心,,,丽水市行政审批服务管理办公室,,A3311211180,,
70,05416866-06e1-44bf-8939-0f91ebbe59b1,桐乡市濮院镇永越村数字化综合服务中心建设项目,A3304830640000265001001,54:54.0,浙江亿达建设有限公司,91330402751177990D,104328496,杨泉章,0,/,桐乡市濮院镇永越村数字化综合服务中心建设项目,54:54.0,330483,,桐乡市公共服务平台,,,新点电子招投标监督平台,,A3304830640,,
