,中标公告唯一标识,标段名称,标段编号,中标公告发布时间,中标单位,中标单位代码,中标价,项目负责人,工期,质量承诺,项目名称,中标时间,标段所在行政区域代码,费率或其它类型结果,交易平台名称,投诉情况,回复情况,行政监督机构名称,专家姓名,交易平台标识码
10,f88ef63f-877a-482b-a44d-94596c24b3a3,衢州巨化锦纶有限责任公司10万吨年环氧氯丙烷项目一批石墨塔,A3308010016320020010000,2022-02-28 16:32:40.0,南通华耐特石墨设备有限公司,91320612753222345F,12576000,无,0,无,10万吨/年环氧氯丙烷项目,2022-02-28 16:32:40.0,330801,,衢州市公共资源交易中心,,,衢州市公共资源交易监督管理办公室,,A3308010910
11,4e09957d-11ed-4225-b623-b8a7f6f36f74,义乌市城西街道物流仓储基地配套工程（地质灾害治理项目）监理,YW20200522006-J00100000,2020-06-28 16:28:00.0,长沙中核工程监理咨询有限公司,91430105743199604A,0,无,1085,无,义乌市城西街道物流仓储基地配套工程（地质灾害治理项目）监理,2020-06-28 16:28:00.0,330782,15.85%,义乌市公共资源交易中心,,,义乌市·市本级,,A3307820880
12,e685c669-608c-4803-8bfe-ff1b7e92b711,新埭镇新兴路（平兴线—镇南路段）改造提升工程施工监理,A3304820630000676001001,2022-07-22 09:01:10.0,南京正通工程咨询有限公司,91320114302778176E,1440000,/,0,/,新埭镇新兴路（平兴线—镇南路段）改造提升工程施工监理,2022-07-22 09:01:10.0,330482,,平湖市公共服务平台,,,新点电子招投标监督平台,,A3304820630
13,90564a8b-a233-40d9-86a1-5f108e012e9a,柯桥区人才公寓项目,A3306030730001295001001,2022-12-07 08:01:45.0,浙江宝业建设集团有限公司,913306217266242933,488636060,陆渭方,1095,合格,柯桥区人才公寓项目,2022-11-29 09:30:00.0,330603,下浮率,绍兴市柯桥区公共资源交易中心,,,绍兴市柯桥区公共资源交易管理委员会办公室,,A3306030730
14,20201225085723142-20201130111527921,第1标段,E3302060053001319001001,2020-12-25 08:58:27.0,宁波市北仑区宏大花木有限公司,91330206744960311G,4150868,黄玲珠,0,一次性验收合格,凤洋二路口袋公园景观提升工程,2020-12-25 08:58:27.0,330200,0.00,北仑区公共资源交易中心,,,北仑区（开发区）行政审批管理办公室,,A3302060260
15,1635218337985000,章水镇后溪河后溪公路新建工程,A3302030230000509001001,2021-10-27 00:00:00.0,浙江成明公路建设有限公司,91330824552854813M,12475719,巫大可,0,标段工程交（竣）工验收质量评定：合格,章水镇后溪河后溪公路新建工程,2021-10-27 14:04:18.0,330203,其他,海曙区公共资源交易平台,,,宁波市海曙区公共资源交易管理办公室,,A3302030230
16,1658193389165004,玉环市高铁站至沙岙公路工程可行性研究报告咨询、设计咨询（重新）,A3310211100000389005001,2022-09-16 00:00:00.0,浙江公路水运工程咨询有限责任公司,91330000142934247L,1358000,方成,0,合格,玉环市高铁站至沙岙公路工程,2022-09-16 10:31:47.0,331021,,玉环市公共资源交易平台,,,玉环市交通运输局,,A3310211100
17,aa98148a-6edb-406c-b209-91f673da7377,安邦护卫浙江公共安全服务中心项目设计,A3301300180300352001001,2021-11-02 09:00:00.0,浙江省建科建筑设计院有限公司,91330000143102565D,4150000,,0,无,安邦护卫浙江公共安全服务中心项目设计,2021-10-22 18:51:38.0,330130,,杭州市公共资源交易中心钱塘分中心,,,杭州市钱塘新区建设局,,A3301300180
18,ef5ae061-d7c2-43d2-acba-30020a3f8b5f,定海区老旧小区综合改造项目—檀树南区标段,A3309021010000258001001,2022-06-14 09:09:13.0,征鸿环境建设有限公司,91330824768682774T,28486123,刘萍,0,合格,定海区老旧小区综合改造项目—檀树南区标段,2022-06-14 09:09:13.0,330902,,舟山市定海区公共资源交易中心,,,舟山市定海区公共资源交易中心,,A3309021010
19,ee0f5168-041a-4f95-9817-ac7c9a386cc9,海宁市长山河中小河流治理项目（第一批）-阳光科技小镇片区施工,A3304810620000588001001,2021-05-25 14:16:30.0,浙江江河建设有限公司,91330604MA29E6AJ0N,19167279,贾波,0,/,海宁市长山河中小河流治理项目（第一批）-阳光科技小镇片区施工,2021-05-25 14:16:30.0,330481,,海宁市公共服务平台,,,新点电子招投标监督平台,,A3304810620
20,1628576561812000,玉环市高铁站至沙岙公路工程,A3310211100000389002001,2021-08-26 00:00:00.0,浙江数智交院科技股份有限公司,91330000470040234R,1080000,赵云安,0,符合招标文件规定的质量目标要求,玉环市高铁站至沙岙公路工程,2021-08-13 09:37:18.0,331021,,玉环市公共资源交易平台,,,玉环市交通运输局,,A3310211100
21,dd54e782-e5aa-40cc-8cea-fd6794c9e49f0000000000000000000000000000,练市镇2014-6号（练溪大桥西侧）地块监理项目,A3305010650000214001001,2021-10-18 16:03:45.0,浙江天元项目管理有限公司,91330522773135660G,2436600,马明爽,0,无,练市镇2014-6号（练溪大桥西侧）地块监理项目,2021-10-18 16:03:24.0,330503,1,湖州市南浔区公共资源交易中心,,,湖州市公共资源交易中心,,A3305030670
22,56a31122-f6ff-4a8a-a0d6-8aa604a74e5a0000000000000000000000000000,监理,E3300000007000290004001,2020-12-01 00:00:00.0,浙江方圆工程咨询有限公司,913311027324284590,2310000,杨伏良,900,无,浙江经贸职业技术学院产教融合大楼建设工程项目,2020-12-01 12:17:06.0,330000,,浙江省公共资源交易中心,,,浙江省招标投标管理中心,,A3300000020
23,D33100320200525164417631,2020年黄岩区公路养护大中修工程（二期）,G3310011234000752001001,2020-06-03 12:14:20.0,台州市黄岩公路工程有限公司,91331003723649444Q,10233442,丁建斌,100,合格,2020年黄岩区公路养护大中修工程（二期）,2020-05-21 15:42:55.0,331001,,台州市公共资源交易中心,,,台州市公路管理局,,A3310011060
24,1be9c908-7b6d-446a-bd13-7b5990b58854,嘉兴市第一医院二期工程(传染病楼改扩建及新建医教研综合楼)设计服务,A3304010550001485001001,2021-05-13 16:50:09.0,浙江省建筑设计研究院,9133000047003271X8,15980000,陈志青,0,/,嘉兴市第一医院二期工程(传染病楼改扩建及新建医教研综合楼)设计服务,2021-05-13 16:50:09.0,330401,,嘉兴市公共服务平台,,,新点电子招投标监督平台,,A3304010550
25,172744,兴凯路（玉泉南路-鄞城大道）改建工程（监理）,A3302010220000039001001,2021-08-18 14:10:17.0,宁波交通工程咨询监理有限公司,913302042541064030,4894656,邵工,0,同施工质量等级要求,兴凯路（玉泉南路-鄞城大道）改建工程（监理）,2021-08-11 16:00:00.0,330201,,宁波市公共资源交易中心,,,市发展和改革委员会,,A3302010220
26,39021,浙南科技城瑶溪北单元11-B-03地块中学装修工程,A3303030430000114001001,2022-03-25 10:10:30.0,厦门城健建设有限公司,913502006782978648,31910894,刘志聪,270,合格,浙南科技城瑶溪北单元11-B-03地块中学装修工程,2022-03-25 10:10:19.0,330303,,温州市行政审批与公共资源交易服务管理中心龙湾分中心,,,温州市龙湾区建设工程招投标监理站,,A3303030430
27,7456b0f6-ec28-44f9-9cb6-3bb574d727f20000000000000000000000000000,第三方检测服务,E3300000007000266005001,2021-04-06 00:00:00.0,浙江省水利河口研究院（浙江省海洋规划设计研究院）,12330000470043742U,1075000,黄建超,1460,无,鳌江南港流域江西垟平原排涝工程（二期）,2021-04-06 09:29:12.0,330000,,浙江省公共资源交易中心,,,浙江省招标投标管理中心,,A3300000020
28,90b7a506-3780-4a50-85f5-14ebf29968d8,棕榈路西延（莫干山路-天阳学校）提升工程,A3301100140300527001001,2020-12-25 09:00:00.0,浙江东欣建设集团有限公司,91330110143801008K,24273130,桂府成,0,无,棕榈路西延（莫干山路-天阳学校）提升工程,2020-12-18 16:20:57.0,330110,,杭州市余杭区公共资源交易中心,,,杭州市余杭区住房和城乡建设局,,A3301100140
29,D33052120221122105855260,智能生态城云谷路（长虹街—康乾街）道路工程,A3305210680110525001001,2022-11-22 11:43:10.0,浙江乔兴建设集团有限公司,91330500146982764L,88651322,吕清容,500,合格,智能生态城云谷路（长虹街—康乾街）道路工程,2022-11-22 00:00:00.0,331001,,德清县公共资源交易中心,,,公共资源交易管理办公室,,A3305210680
30,9a3fa4f9-369a-47fd-9945-6eb20836c5ba,经济开发区（海昌街道）兴业路（薛家桥港以西段）项目,A3304810620000280001001,2022-10-09 15:43:18.0,温州神光建设工程有限公司,91330326145708448B,11438572,吴阿散,0,合格,经济开发区（海昌街道）兴业路（薛家桥港以西段）项目,2022-10-09 15:43:18.0,330481,,海宁市公共资源交易中心,,,海宁市公管办,,A3304810620
31,30067,开化县金溪画廊密赛典范村建设项目（实施方案至初步设计）阶段设计服务,20210207003901无00000000,2021-03-15 16:09:40.0,上海同建强华建筑设计有限公司,913101107842885078,0,孙醒宇,20,一次性验收合格,开化县金溪画廊密赛典范村建设项目（实施方案至初步设计）阶段设计服务,2021-03-15 16:09:28.0,330824,2.9,开化县公共资源市场化配置监督管理办公室,,,县监管办,,A3308240950
32,e70b9644-f8be-4510-8aa4-021fe506529e,衢州市城南初中周边道路配套工程,A3308010016240010010000,2022-02-24 14:58:38.0,衢州百意达建设有限公司,91330822679587759R,10325886,殷美琴,0,无,衢州市城南初中周边道路配套工程,2022-02-24 14:58:38.0,330801,,衢州市公共资源交易中心,,,衢州市公共资源交易监督管理办公室,,A3308010910
33,1390e9b6-6457-43d2-a179-835cd7b7c604,锦城街道长路畈社区邻里中心项目(一期)工程(重新招标),A3301850210000036001001,2020-03-17 09:00:00.0,杭州临安佰泽建设工程有限公司,91330185MA27X0R68C,6207569,金海来,0,无,锦城街道长路畈社区邻里中心项目(一期)工程(重新招标),2020-03-06 17:42:08.0,330185,,临安市公共资源招投标交易中心,,,杭州市临安区住房和城乡建设局,,A3301850210
34,a95b8e5f-bdd7-418c-9fa9-1bc6587ea613,萧山区义桥镇社区卫生服务中心迁建-装修工程,A3301090130501604001211,2022-06-16 09:00:00.0,杭州永仁建设有限公司,9133010058989160XP,10760904,,0,无,萧山区义桥镇社区卫生服务中心迁建-装修工程,2022-05-31 20:07:26.0,330109,,杭州市公共资源交易中心萧山分中心,,,杭州市萧山区建设工程招标投标管理办公室,,A3301090130
35,0e16324c-7bb0-4b00-9b27-d508fa86208c,义乌国际生产资料市场配套工程——宾馆装饰工程（二标段）,YW20200731001-S00200000,2021-11-04 10:53:41.0,深圳鹏润建设集团有限公司,91440300786576107D,55754222,段硕,272,国家现行施工验收规范合格标准,义乌国际生产资料市场配套工程——宾馆装饰工程,2021-11-04 10:53:41.0,330782,,义乌市公共资源交易中心,,,义乌市·市本级,,A3307820880
36,d46697ce-f950-466b-90e4-b16208859afa,余杭区大运河文化带建设（大运河综合保护）一期——良渚段（二）项目监理,A3301100140300847001001,2021-04-21 09:00:00.0,政通建设管理有限公司,91330110762039446N,925691,黄国强,0,无,余杭区大运河文化带建设（大运河综合保护）一期——良渚段（二）项目监理,2021-04-14 18:01:30.0,330110,,杭州市余杭区公共资源交易中心,,,杭州市余杭区住房和城乡建设局,,A3301100140
37,f8612615-41dc-4926-a66b-07899d160e7b,丽缙园幼儿园项目000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,A3311011160006467001001,2022-02-25 10:48:04.0,浙江罗邦建设有限公司,91331123683145240C,20416609,留卫平,247,1,丽缙园幼儿园项目,2022-02-25 10:48:04.0,331122,,缙云县公共资源交易中心,,,丽水市行政审批服务管理办公室,,A3311221190
38,8c23705f-ebef-41d8-b88c-d518d286b4550000000000000000000000000000,湖州南太湖新区长东总部经济园区路网及综合管廊工程（长东路等三路工程）设计项目,HZ20200521005-100000000,2020-06-24 13:59:05.0,北京市市政专业设计院股份公司,9111010210112976XW,10431000,王京京,0,无,湖州南太湖新区长东总部经济园区路网及综合管廊工程（长东路等三路工程）设计项目,2020-06-24 13:58:47.0,330507,1,湖州经济技术开发区公共资源交易中心,,,湖州市公共资源交易中心,,A3305300710
39,c18ba9c6-29d3-4498-98ab-a8e3a7f2bc5b,千亩“示范方”基础道路设施硬化工程,A3304240590002118001001,2021-10-28 16:06:03.0,浙江川源建设有限公司,91330421MA2BCK9M8R,1455628,陈斌,0,/,千亩“示范方”基础道路设施硬化工程,2021-10-28 16:06:03.0,330424,,海盐县公共服务平台,,,新点电子招投标监督平台,,A3304240590
41,199774bd-5b63-4317-98c3-cc23338f4d8f,嵊泗泗礁岛海湾清淤工程,A3309221030000039001001,2022-01-11 09:44:50.0,浙江省围海建设集团舟山有限公司,91330900683115826A,17323531,李诗元,0,合格,嵊泗泗礁岛海湾清淤工程,2022-01-11 09:44:50.0,330922,,嵊泗县招投标中心,,,嵊泗县招投标中心,,A3309221030
42,77338ff9-36e9-4b69-9920-ac8cddaab93e,乔司第二幼儿园（艺尚分园）改建项目,A3301100140300074001001,2020-08-18 09:00:00.0,信实环境建设集团有限公司,913308246807255300,12135940,江三明,0,无,乔司第二幼儿园（艺尚分园）改建项目,2020-07-20 14:31:18.0,330110,,杭州市余杭区公共资源交易中心,,,杭州市余杭区住房和城乡建设局,,A3301100140
43,20220804152403028-20220720151121023,临海市永丰镇实验小学综合楼工程,A3310821150002637001001,2022-08-04 17:03:06.0,浙江鼎盛建筑工程有限公司,91331021148362307E,9255971,李先荣、管宸逸,0,合格,临海市永丰镇实验小学综合楼工程,2022-08-04 17:03:06.0,331000,0.0000,临海市公共资源交易中心,,,临海市公共资源交易管理办公室,,A3310821150
44,122c66ca-8861-4d01-8539-5bee5bde7fcf,衢州市生态环境局院内硬路及停车位改造工程,A3308010010580010010000,2020-09-25 09:30:24.0,浙江禁山环境建设工程有限公司,91330800050135384B,452535,张艳,0,无,衢州市生态环境局院内硬路及停车位改造工程,2020-09-25 09:30:24.0,330801,,衢州市公共资源交易中心,,,衢州市公共资源交易监督管理办公室,,A3308010910
45,eb8b8609-79bd-4659-b3e2-bcd3f7fde1be,新社区集聚后宅街道镇中北侧3#地块幕墙工程,YW20210607004-S00100000,2021-07-12 10:12:41.0,常升建设集团有限公司,913300006725993510,18931308,尚琳娜,360,符合国家现行施工验收规范合格标准,新社区集聚后宅街道镇中北侧3#地块幕墙工程,2021-07-12 10:12:41.0,330782,,义乌市公共资源交易中心,,,义乌市·市本级,,A3307820880
46,f9a7ab6f-0ed0-4c21-b4ba-f2f39c3e33a5,2022-2025年江山经济开发区莲华山园区基础设施配套建设项目(邻里服务点),A3308810005650010010000,2022-07-26 17:56:47.0,浙江江鑫建设有限公司,91330881785661430M,133150161,严裕录,0,无,2022-2025年江山经济开发区莲华山园区基础设施配套建设项目(邻里服务点),2022-07-26 17:56:47.0,330881,,江山市公共资源交易中心,,,衢州市公共资源交易监督管理办公室,,A3308810990
47,D33102320211230111142599,2021年天台县三合镇灵溪片等高标准农田建设项目,A3310231120100136001001,2021-12-31 09:42:02.0,江山市冠龙水利建设有限公司,91330881569370866Q,4135814,余小翠,360,合格,2021年天台县三合镇灵溪片等高标准农田建设项目,2021-12-28 11:15:40.0,331001,,天台县公共资源交易中心,,,天台县农业农村局,,A3310231120
49,ad2fc83b-3f84-4812-836b-bc8d96f45ab4,常山县人民医院整体改造提升项目设计,A3308220000620010010000,2022-06-23 15:05:08.0,浙江省现代建筑设计研究院有限公司,9133000047005189XE,1410000,蒋德利,0,无,常山县人民医院整体改造提升项目设计,2022-06-23 15:05:08.0,330822,,常山县公共资源交易中心,,,衢州市公共资源交易监督管理办公室,,A3308220940
50,ed92fab7-8d8c-4542-ac14-f99a68818535,,A3310811140001039001001,2020-07-08 15:34:00.0,温岭市大地建筑工程有限公司,9133108125547542X2,3224888,,0,,,2020-07-08 15:34:00.0,331000,0.00,温岭市公共资源交易中心,,,,,A3310811140
52,28890,乡愁记忆风景线建设工程,A3307830890002029029892,2020-09-09 10:48:13.0,金华市交通规划设计院有限公司,91330702471542586Q,137137815,周珠英,100,不低于国家相关验收的合格标准,乡愁记忆风景线建设工程,2020-07-07 17:00:00.0,330783,10.56,东阳市公共资源交易中心,,,东阳市交通局,,A3307830890
53,5f6e8f8a-8eaf-4f6d-8d74-64e4e4e47bc8,开发区2020年度安置房维修等配套项目集水河水系沟通工程,A3304240590000665001001,2020-06-22 08:49:20.0,嘉善县水利建设工程有限公司,91330421146606347L,1610468,俞雪妹,0,/,开发区2020年度安置房维修等配套项目集水河水系沟通工程,2020-06-22 08:49:20.0,330424,,海盐县公共服务平台,,,新点电子招投标监督平台,,A3304240590
54,1600992496160009,浙江省龙游县湖镇中心卫生院医养结合项目改造—综合楼加层改造工程,A3308250980001366001001,2020-09-25 00:00:00.0,龙游凤舞建设有限公司,91330825MA2DH3L744,181731,周功苗,60,合格,浙江省龙游县湖镇中心卫生院医养结合项目改造—综合楼加层改造工程,2020-09-25 08:21:26.0,330825,,龙游县公共资源交易平台,,,1441846024373009,,A3308250980
55,2b60d0c2-539a-495f-a939-4d6f830d1885,育才路北延（禹会路-上方山大道）道路新建工程Ⅱ标,A3306030730001294001001,2022-12-05 11:24:18.0,中国铁建大桥工程局集团有限公司,91120116244997951G,226086239,李文良,1095,合格,育才路北延（禹会路-上方山大道）道路新建工程Ⅱ标,2022-11-28 09:30:00.0,330603,下浮率,绍兴市柯桥区公共资源交易中心,,,绍兴市柯桥区公共资源交易管理委员会办公室,,A3306030730
56,8835201,镇海区ZH09-03-02-03-a地块项目设计采购施工（EPC）总承包,A3302110270000081001001,2021-12-23 16:18:00.0,"浙江新中源建设有限公司,宁波市民用建筑设计研究院有限公司",91330200725135244T,744695171,李工,0,按国家施工验收规范一次性验收合格,镇海区ZH09-03-02-03-a地块项目设计采购施工（EPC）总承包,2021-12-20 17:00:00.0,330211,,镇海公共资源交易中心,,,镇海区住建局建招办,,A3302110270
57,291b0fe1-8598-43aa-9a85-9178c0f804eb,上虞区数字农业综合体建设项目,A3306820700003118001001,2021-07-16 16:40:39.0,海天建设集团有限公司,91330783785663700R,74354404,沈卫忠,0,合格,上虞区数字农业综合体建设项目,2021-07-16 16:40:37.0,330682,,绍兴市上虞区公共资源交易中心,,,绍兴市上虞区便民服务中心(招标投标监督办公室),,A3306040760
58,7853,Z601长坑岭头至朝阳林区公路拓宽改造建设项目,PA2020-035号678435600408,2020-04-16 16:17:52.0,浙江磐安明景建设有限公司,91330800609807808N,1470382,王良彪,180,合格,Z601长坑岭头至朝阳林区公路拓宽改造建设项目,2020-04-10 11:00:00.0,330727,8.09,磐安县公共资源管理委员会办公室,,,磐安县住房和城乡建设局,,A3307270830
59,163429,宁波农副产品物流中心I期功能提升改造工程总承包,E3302830000005678001001,2020-08-14 09:27:02.0,"宁波建工工程集团有限公司,慈溪市建筑设计研究院有限公司",91330200340554704D,67615000,-,0,-,宁波农副产品物流中心I期功能提升改造工程总承包,2020-08-13 17:00:00.0,330201,,宁波市公共资源交易中心,,,其他（非监管中心监管项目）,,A3302010220
60,d77f0ecf-a17a-46fa-846a-77cf07929ad00000000000000000000000000000,湖州市老旧小区改造(一期)及中心城区污水零直排工程施工2022年度三标段监理项目,A3305010650000726001001,2022-07-26 15:03:58.0,杭州天恒投资建设管理有限公司,913301001431041067,1167800,潘谷铭,0,无,湖州市老旧小区改造(一期)及中心城区污水零直排工程施工2022年度三标段监理项目,2022-06-14 17:03:04.0,330501,1,湖州市公共资源交易中心,,,湖州市公共资源交易管理办公室,,A3305010650
61,90beda4a-b8f8-4d5e-bab0-4619e309e20d0000000000000000000000000000,龙港市龙港大道改造提升工程（西一街至堤塘段）设计,A3303831280000123001001,2021-05-13 15:55:34.0,天津城建设计院有限公司,91120000746695865U,1800000,井润胜,50,1,龙港市龙港大道改造提升工程（西一街至堤塘段）设计,2021-05-13 15:54:48.0,330399,,龙港市公共资源交易中心,,,龙港市自然资源与规划建设局;,,A3303831280
62,2d73b095-6263-46c8-957b-f2bf78fff1a3,前进公租房一期项目全过程工程咨询,A3301300180503527001211,2022-11-03 09:00:00.0,城市建设技术集团（浙江）有限公司,91330104253924869R,9445552,王芝全,0,无,前进公租房一期项目全过程工程咨询,2022-10-20 19:24:58.0,330130,,杭州市公共资源交易中心钱塘分中心,,,杭州市钱塘新区建设局,,A3301300180
63,94f77a4c-d6fc-4dfb-b0f7-2ccea5a792e9,嘉善县第三人民医院三期工程,A3304210580000223001001,2020-09-25 17:20:18.0,浙江东博建设有限公司,91330421560998614H,144131800,杨旭峰,0,/,嘉善县第三人民医院三期工程,2020-09-25 17:20:18.0,330421,,嘉善县公共服务平台,,,新点电子招投标监督平台,,A3304210580
64,D33100120210611134921927,台州市域铁路S1线一期工程站台门设备采购及安装工程,G3310011234001528001001,2021-07-09 16:08:19.0,株洲中车时代电气股份有限公司,914300007808508659,50567806,杨昊,150,满足招标文件要求,台州市域铁路S1线一期工程,2021-05-28 16:05:09.0,331001,,台州市公共资源交易中心,,,台州市发展和改革委员会,,A3310011060
65,66401.0,滨海十一路（金海三道至滨海六道段）道路提升工程,00100000000000000000000,2021-01-19 03:23:50.0,绍兴金朋环境建设有限公司,913306210753389626,16578518,鲁国庆,365,合格,滨海十一路（金海三道至滨海六道段）道路提升工程,2021-01-19 03:25:36.0,330301,,温州市行政审批与公共资源交易服务管理中心,,,温州经济技术开发区住房与建设局工程建设招投标办公室,,
66,53784,东阳市2023年养护专项工程（设计）（标段一）,A3307830890003156001001,2022-12-02 14:14:30.0,金华市交通规划设计院有限公司,91330702471542586Q,1150000,肖质江,0,合格,东阳市2023年养护专项工程（设计）（标段一）,2022-11-12 14:00:00.0,330783,,东阳市公共资源交易中心,,,东阳市交通局,,A3307830890
67,2f5f0846-fede-4310-bc9b-b0be8ae90554,建德市境内铁路货场迁建工程(危化品库区一期）整改项目(第二次）,A3301820190000001001001,2020-04-15 09:00:00.0,浙江云龙建设有限公司,91330182704289172H,4919504,无,0,合格,建德市境内铁路货场迁建工程(危化品库区一期）整改项目(第二次）,2020-01-22 10:57:26.0,330182,,建德市公共资源交易中心,,,建德市住房和城乡建设局,,A3301820190
68,dd848147-4145-4184-81ac-773752d0acc1,安吉县浑泥港流域鄣吴溪治理工程（鄣吴镇段）-大河口水库至黄石头桥段,A3305230700000709001001,2021-01-11 15:06:08.0,浙江鸿翔水利建设有限公司,913304817109688253,5988991,沈婷瑶,0,合格,安吉县浑泥港流域鄣吴溪治理工程（鄣吴镇段）,2021-01-11 15:06:08.0,330523,,安吉县公共资源交易中心,,,安吉县公共资源交易管理办公室,,A3305230700
